Variável,Dado
Metodologia," Três livros com variação crescente de palavras por página, variação em ilustração e com temáticas que abordavam diferentes valores foram utilizados. Assim, três sessões de leitura individuais com duas crianças, de 8 e 10 anos de idade foram seguidas de um momento lúdico. Neste, uma caixinha com surpresas continha diferentes temas/valores presentes nos livros utilizados que poderiam ser selecionados para discussão final. Entre os valores presentes na história estavam a amizade, os benefícios do contato com a natureza, e o dizer a verdade na tentativa de solucionar um problema. As sessões foram filmadas e analisadas por uma observadora e pela experimentadora que dispensava os reforços para a criança no transcorrer da leitura. A unidade de análise foi a palavra e as seguintes categorias foram analisadas por sessão: (1) repetições, (2) correções, (3) erros de leitura e, (4) erros de pontuação (com ausência de pausas e/ou de entonação)."
Resultados," Pedro e Bruno mostraram um percentual de acertos total das três histórias de 76% e 79%, respectivamente. Contudo, no decorrer da leitura muitas interrupções devido ao não cumprimento da pontuação e aos erros de leitura de algumas palavras contribuíram para dificuldades no campo da fluência (como pode ser observado nas medidas de repetições, correções, erros de leitura e de pontuação). No transcorrer da mediação com a criança, os participantes formularam sínteses das histórias, apresentando também exemplos do cotidiano, a partir de alguns trechos dos livros da leitura, mostrando compreensão da leitura."
Conclusão," Pedro e Bruno mostraram um percentual de acertos total das três histórias de 76% e 79%, respectivamente. Contudo, no decorrer da leitura muitas interrupções devido ao não cumprimento da pontuação e aos erros de leitura de algumas palavras contribuíram para dificuldades no campo da fluência (como pode ser observado nas medidas de repetições, correções, erros de leitura e de pontuação). No transcorrer da mediação com a criança, os participantes formularam sínteses das histórias, apresentando também exemplos do cotidiano, a partir de alguns trechos dos livros da leitura, mostrando compreensão da leitura."
Palavras-Chave," Histórias infantis, fluência na leitura, relações verbais, análise do comportamento e a leitura de crianças. "
Colaboradores," Laura Campos de Moura, Valéria Torres e Nathália Pereira de Oliveira."
A hidratação cutânea como método eficaz para prevenção e tratamento de radiodermatites, busca de evidências
Bolsista, Gracielle de Sousa Freitas
Unidade Acadêmica, Enfermagem 
Instituição, UnB
Orientador (a), PAULA ELAINE DINIZ DOS REIS
Introdução," A radioterapia é uma das modalidades de tratamento que representa um papel fundamental na luta contra o câncer, atuando de forma localizada em concomitância ou não à quimioterapia e cirurgia. As principais complicações que podem ocorrer em decorrência do uso da radiação é o aparecimento de lesões na pele no local ou nas proximidades da área irradiada (radiodermites). Em função da necessidade de acompanhamento de pacientes acometidos por radiodermites e a de orientação dos profissionais responsáveis pelo cuidado dos mesmos o objetivo deste trabalho constitui em uma revisão integrativa da literatura, levantando as principais medidas profiláticas usadas para radiodermites."
Metodologia," Para levantar o estado atual das medidas profiláticas no controle de radiodermites adotou-se a revisão integrativa da literatura. A pesquisa baseou-se no material indexado nas bases de dados do Lilacs, Medline e Cochrane, sendo incluídos artigos nos idiomas inglês e português. Os descritores e seus respectivos cruzamentos foram: skin care and baths and prevention and control, skin care and beta particles and prevention and control, skin care and gamma rays and prevention and control, skin care and radiation effects and prevention and control, skin care and radiodermatitis and prevention and control, skin care and therapeutic irrigation and prevention and control. Na seleção da amostra excluíram-se: periódicos repetidos, idiomas diferentes do português e inglês, artigos que abordavam radiodermites sem mencionar profilaxia e periódicos internacionais de difícil acesso. Os dados foram organizados em um instrumento que continha sinais e sintomas, classificação empregada e grau de eficácia."
Resultados," Na amostra foram alcançados 13 artigos de periódicos internacionais, sendo 3 destes revisões de literatura. Os métodos utilizados na profilaxia de radiodermites encontrados são: aloe vera, lavagem do cabelo antes da radioterapia, GM-CSF, RayGel, Beclomethasone spray, Aquaphor (pomada), Biafine RE (creme), RadiaCare, Trolamine, Creme sucralfato e Creme aquoso. Aloe vera reduziu a incidência de eritema moderadamente (Heggie et al). Aplicação de GM-CSF teve um efeito protetor significativo na pele (Kouvaris et al). RayGel mostrou uma clara tendência de ser superior ao placebo testado (Miko et al). Os demais produtos não apresentaram diferenças significativas nos respectivos estudos. As revisões de literatura mostram que existe uma grande divergência na corrente prática, com alguns especialistas clínicos relatando que os pacientes podem usar loções ou agentes tópicos antes da terapia de radiação sem risco e outros restringindo o seu uso por completo (Susan et al)."
Conclusão," Na amostra foram alcançados 13 artigos de periódicos internacionais, sendo 3 destes revisões de literatura. Os métodos utilizados na profilaxia de radiodermites encontrados são: aloe vera, lavagem do cabelo antes da radioterapia, GM-CSF, RayGel, Beclomethasone spray, Aquaphor (pomada), Biafine RE (creme), RadiaCare, Trolamine, Creme sucralfato e Creme aquoso. Aloe vera reduziu a incidência de eritema moderadamente (Heggie et al). Aplicação de GM-CSF teve um efeito protetor significativo na pele (Kouvaris et al). RayGel mostrou uma clara tendência de ser superior ao placebo testado (Miko et al). Os demais produtos não apresentaram diferenças significativas nos respectivos estudos. As revisões de literatura mostram que existe uma grande divergência na corrente prática, com alguns especialistas clínicos relatando que os pacientes podem usar loções ou agentes tópicos antes da terapia de radiação sem risco e outros restringindo o seu uso por completo (Susan et al)."
Palavras-Chave," Radioterapia, radiodermites, pele, profilaxia, reações, prevenção "
Colaboradores,
Desenvolvimento de um método para a determinação de cocaína por infravermelho médio e métodos de resolução de sinais.,TituloTrabalho
Bolsista, Graziela Silva Caiado
Unidade Acadêmica, Química 
Instituição, UnB
Orientador (a), JEZ WILLIAN BATISTA BRAGA
Introdução," Os processos de produção de cocaína envolvem diversas etapas. Após o refino a droga obtida pode conter um teor de cocaína que pode variar de 70 a 85%(m/m). Contudo, essa droga é repassada a traficantes que efetuam adulterações até a sua venda para o usuário. Portanto, a determinação do teor de cocaína na droga constitui uma informação relevante para a investigação policial, uma vez que o teor de cocaína encontrado está diretamente relacionado com o número de traficantes que tiveram contato com essa droga, além de contribuir para a convicção do juiz e na dosimetria das penas aplicadas. Atualmente a espectroscopia no infravermelho vem se destacando entre as técnicas instrumentais pela quantidade de informação proporcionada, sua simplicidade no preparo de amostra e rapidez das análises. Nesse contexto, o presente trabalho tem como objetivo a aplicação da espectroscopia no infravermelho médio para o desenvolvimento e avaliação de um método para a análise de cocaína em amostras de drogas."
Metodologia," Para a construção e validação do método foram preparadas amostras com o teor de cocaína variando de 0 a 82%(m/m), sendo utilizados como diluentes cafeína, benzocaína e diltiazem. As análises foram realizadas no equipamento Nicolet IS-10 utilizando os acessórios de refletância difusa e o ATR. Os espectros obtidos foram importados para o programa MatLab e analisados com o programa MCR, sendo os dados pré-processados por variação normal padrão (SNV) e selecionada a região espectral entre 3000 e 3048 cm-1. O conjunto de calibração foi constituído por dez amostras contendo cafeína e cocaína, enquanto que as amostras de validação foram compostas de misturas de cocaína- cafeína, cocaína-benzocaína ou cocaína-diltiazem, todas medidas em triplicata. Como estimativas iniciais para o MCR foram utilizados os espectros da cocaína e da cafeína e inserido um vetor de números aleatórios para o terceiro componente."
Resultados," Os resultados de deconvolução indicaram que os espectros do terceiro componente apresentaram uma boa concordância com os espectros da benzocaína ou diltiazem, sendo possível a identificação desses adulterantes. A precisão, exatidão e capacidade de detecção do método (considerando 95% de confiança) foram de 1,5 e 10,5 e 10,0%(m/m), respectivamente."
Conclusão," Os resultados de deconvolução indicaram que os espectros do terceiro componente apresentaram uma boa concordância com os espectros da benzocaína ou diltiazem, sendo possível a identificação desses adulterantes. A precisão, exatidão e capacidade de detecção do método (considerando 95% de confiança) foram de 1,5 e 10,5 e 10,0%(m/m), respectivamente."
Palavras-Chave," Cocaína, Infravermelho, Quimiometria, Drogas"
Colaboradores," Instituto Nacional de Criminalistica, Polícia Federal, Peritos: Márcio Talhavini e Jorge J. Zacca, CNPq."
Sistema de roteirização em ambiente Web,TituloTrabalho
Bolsista, Guilherme Almeida Miranda
Unidade Acadêmica, Ciência da Computação 
Instituição, UCB
Orientador (a), EDILSON FERNEDA
Introdução," No mundo de negócios atual as organizações buscam minimizar seus custos para se manterem no mercado e serem competitivas. Diversas propostas vêm sendo feitas buscando a minimização de custos em cada uma das fases do ciclo de negócios, desde a produção de matéria prima até sua comercialização. Neste contexto, questões relativas à logística têm papel significativo na planilha de custos de um produto. Assim, as atividades de transporte da matéria prima desde seu produtor entre o local de produção e o distribuidor e desse aos seus pontos de venda precisam ser as mais racionais possíveis. A questão do planejamento de rotas de coleta e/ou distribuição de produtos tem sido uma problemática de algumas associações, cooperativas ou grupos de produtores. Para empresas desse tipo, bons instrumentos de cálculo de roteirização pode significar um fator de vantagem competitiva vital. Diversas soluções disponíveis no mercado tratam da minimização do caminho entre uma origem e um destino, mas não para a"
Metodologia," A modelagem foi feita de acordo com o paradigma de Análise e Projeto Orienta-do à Objetos. Para a modelagem foi utilizada a notação UML  Unified Modeling Language. Para a construção do software propriamente dito, foi utilizado o NetBeans como IDE  Interface gráfica para o desenvolvimento, com uma série de plugins para auxiliar e automatizar tarefas, em especial na utilização dos frameworks de desenvolvimento. A principal linguagem de programação utilizada foi o Java Enterprise Edition (JEE) 1.6. Serviu-se também das seguintes linguagens, padrões e especificações: Javascript, HTML (HyperText Markup Language), XML (eXtensible Markup Language) e CSS 2 (Cascading Style Sheets)."
Resultados," O sistema produzido (Rot-Agro 2) permite a integração com o Google Maps para a visualização e manipulação dos dados referentes a rotas, em que os dados geográficos fornecidos são armazenados em um banco de dados, e fornecidos ao Google Maps para visualização e interação do usuário."
Conclusão," O sistema produzido (Rot-Agro 2) permite a integração com o Google Maps para a visualização e manipulação dos dados referentes a rotas, em que os dados geográficos fornecidos são armazenados em um banco de dados, e fornecidos ao Google Maps para visualização e interação do usuário."
Palavras-Chave, Sistemas de Informação Geográfica. Logística. Roteamento. 
Colaboradores, André Pereira Ortega
ProDC  Desenvolvimento do software,TituloTrabalho
Bolsista, Guilherme Caetano Peron
Unidade Acadêmica, Engenharia Elétrica 
Instituição, UnB
Orientador (a), LOURDES MATTOS BRASIL
Introdução," O uso de jogos na área médica é uma prática que vem se consolidando. Vários estudos têm sido realizados apontando os prós e contras do uso de jogos no tratamento de doenças, incluindo em idosos. Visando atingir essa área, surge o ProDC, software composto por jogos, que são desenvolvidos em níveis graduais de dificuldade, programados com o objetivo de promover o desempenho cognitivo de idosos com idade igual ou superior a 60 anos, com quadros de deficit cognitivo leve. Uma etapa importante da confecção de qualquer software é a de testes e validação. Sabe-se que um sistema nunca estará pronto nas primeiras versões. Dessa forma, há a perspectiva de que, após o início das intervenções com os idosos, por parte dos terapeutas ocupacionais, haja mudanças nos jogos que afetarão diretamente os resultados da pesquisa. Devido a isso, algumas das intervenções foram acompanhadas, com o objetivo de realizar uma avaliação do software e correção dos jogos, levando a um aprimoramento indispensável."
Metodologia," No total, foram desenvolvidos nove jogos, nos quais foram realizados os testes. O software passou por revisões iniciais por parte dos terapeutas e então, aplicado aos pacientes, a fim de analisar a eficácia do método proposto. Durante algumas seções da intervenção terapêutica, esteve presente ao menos um aluno de engenharia, promovendo assim a evolução do software, ao observar o funcionamento deste durante as seções. No entanto, boa parte da compilação dos erros foi realizada pelos próprios alunos de terapia ocupacional, que tinham um contato maior com o público alvo, gerando um relatório específico e detalhado, utilizado para fazer as devidas correções. Por se tratar de uma intervenção que envolve seres humanos e a coleta de dados provenientes das atividades deles, o projeto foi submetido ao Comitê de Ética em Pesquisa da Faculdade de Saúde da Universidade de Brasília  CEP/FS, com número de registro 058/11, sendo aprovado por tal comitê."
Resultados," Foram produzidos nove jogos, a saber, Palavras Cruzadas, Encontrando no Mar, Qual é o Erro?, Jogo da Forca, Relacionando, Sequenciando, Roteiro de Passeio, Qual é o Objeto? e o Jogo da Velha. Com a aplicação dos jogos durante as intervenções terapêuticas, as falhas foram identificadas e documentadas. Então, foi iniciado o processo de aprimoramento do software, onde essas falhas foram analisadas e corrigidas, tornando o ProDC mais próximo da excelência buscada. Foram corrigidas falhas como tamanho de letra e de figuras, coloração de imagens, bem como falhas mais operacionais, como, por exemplo, não passar de nível após o usuário errar muitas vezes seguidas. Dessa forma, é possível garantir que o software seja cada vez mais efetivo, contribuindo positivamente para o desempenho cognitivo dos idosos, mesmo não estando em sua versão final, pois é de se esperar que venham a existir novos problemas a serem resolvidos, além de inovações no software e no quadro de jogos."
Conclusão," Foram produzidos nove jogos, a saber, Palavras Cruzadas, Encontrando no Mar, Qual é o Erro?, Jogo da Forca, Relacionando, Sequenciando, Roteiro de Passeio, Qual é o Objeto? e o Jogo da Velha. Com a aplicação dos jogos durante as intervenções terapêuticas, as falhas foram identificadas e documentadas. Então, foi iniciado o processo de aprimoramento do software, onde essas falhas foram analisadas e corrigidas, tornando o ProDC mais próximo da excelência buscada. Foram corrigidas falhas como tamanho de letra e de figuras, coloração de imagens, bem como falhas mais operacionais, como, por exemplo, não passar de nível após o usuário errar muitas vezes seguidas. Dessa forma, é possível garantir que o software seja cada vez mais efetivo, contribuindo positivamente para o desempenho cognitivo dos idosos, mesmo não estando em sua versão final, pois é de se esperar que venham a existir novos problemas a serem resolvidos, além de inovações no software e no quadro de jogos."
Palavras-Chave," Deficit Cognitivo, ProDC, Jogos, Validação e Testes."
Colaboradores," Profa. Dra. Kátia Vanessa Pinto de Meneses, Alunos: João Paulo Lima da Silva, Lídia Isabel Barros dos Santos."
Os efeitos de mangas compressivas na potência e desempenho neuromuscular,TituloTrabalho
Bolsista, Guilherme Carneiro Sarmento
Unidade Acadêmica, Educação Física 
Instituição, UnB
Orientador (a), MARTIM FRANCISCO BOTTARO MARQUES
Introdução," Os praticantes de esporte de alto rendimento buscam a cada dia métodos que visam melhorar a performance ou acelerar o processo de recuperação. Dentre esses métodos, destaca-se o uso de vestuários de compressão (VC). Apesar de ter seu uso bastante difundido, não é bem documentado se existem benefícios reais com o uso dos VC para o aumento do desempenho dos atletas. Diversos estudos avaliaram a utilização de VC e os seus efeitos em saltos, ciclismo, e corridas de longa e curta duração. Porém a grande maioria destes estudos avaliou a utilização de roupas compressivas para membros inferiores em atividades aeróbias. Há uma carência de estudos que avaliaram atividades de membros superiores e com a realização de treinamento com pesos. Portanto, o objetivo do presente estudo foi investigar os efeitos da utilização de mangas de compressão no desempenho neuromuscular e metabólico dos membros superiores, quando submetidos a um protocolo de treinamento com pesos de potência muscular."
Metodologia," Participaram do estudo 15 homens (23,06 ± 3,79 anos, 77,31 ± 8,75 kg, 178,00 ± 7,00 cm) praticantes de treinamento com pesos a pelo menos seis meses. Foram realizadas quatro visitas, sendo a primeira para avaliações antropométricas e teste de 1RM. A segunda para confirmação da carga de 1RM e familiarização. Na terceira e quarta visitas foram realizadas as sessões de treinamento de potência utilizando as mangas compressivas (PMC) ou as mangas sem compressão (PMS), em ordem contrabalanceada. O protocolo da sessão era composto por seis séries de seis repetições no exercício supino reto com 50% da carga de 1RM, amplitude máxima de movimento e intervalo de recuperação de um minuto entre as séries. Foram mensuradas a potência média (POTMED) e pico (POTPICO) de cada série e foram coletadas amostras de lactato sanguíneo (La) antes e após a sessão (PRÉ e PÓS, respectivamente). Para análise estatística foi utilizada ANOVA fatorial de medidas repetidas. O nível de significância adotado foi de 5%."
Resultados," Não foram encontradas diferenças significativas entre os protocolos de treinamento PMC e PMS para a POTMED, POTPICO e concentração de La. Foi verificada no protocolo PMC uma queda significativa na POTMED da 1° série para a 3°, 4°, 5° e 6° séries, e da 2°, 3° e 4° séries para a 5° e 6° séries. No mesmo protocolo, a POTPICO teve uma queda significativa da 1°, 2° e 4° séries para a 5° e 6° séries. No protocolo PMS houve uma redução significativa na POTMED da 1° série para a 3°, 4°, 5° e 6° séries, da 2° série para a 3° e 6° séries, e da 3°, 4° e 5° séries para a 6° série. A POTPICO teve queda significativa apenas da 1° série para a 3°, 4°, 5° e 6° séries no PMS. Em ambos os protocolos foi encontrado um aumento significativo na concentração de La no momento PÓS, quando comparado com o momento PRÉ."
Conclusão," Não foram encontradas diferenças significativas entre os protocolos de treinamento PMC e PMS para a POTMED, POTPICO e concentração de La. Foi verificada no protocolo PMC uma queda significativa na POTMED da 1° série para a 3°, 4°, 5° e 6° séries, e da 2°, 3° e 4° séries para a 5° e 6° séries. No mesmo protocolo, a POTPICO teve uma queda significativa da 1°, 2° e 4° séries para a 5° e 6° séries. No protocolo PMS houve uma redução significativa na POTMED da 1° série para a 3°, 4°, 5° e 6° séries, da 2° série para a 3° e 6° séries, e da 3°, 4° e 5° séries para a 6° série. A POTPICO teve queda significativa apenas da 1° série para a 3°, 4°, 5° e 6° séries no PMS. Em ambos os protocolos foi encontrado um aumento significativo na concentração de La no momento PÓS, quando comparado com o momento PRÉ."
Palavras-Chave," Mangas de compressão, potência, performance, força muscular."
Colaboradores," Guilherme Carneiro Sarmento, Saulo Santos Martorelli, André Santos Martorelli, Maria Claudia Pereira, Murillo Neumann."
Análise histológica e morfométrica de lâminas contendo pulmões de ratos tratados com Docetaxel,TituloTrabalho
Bolsista, Guilherme Costa Crispim de Sousa
Unidade Acadêmica, Medicina 
Instituição, UnB
Orientador (a), CARLOS EDUARDO VENTURA GAIO DOS SANTOS
Introdução," O docetaxel é uma droga pertencente à família dos taxanes, muito utilizada pela medicina como quimioterápico. Seu mecanismo de ação é bem descrito, no qual ocorre uma ligação à proteína tubulina, o que impede o crescimento e a ruptura dos microtúbulos celulares, necessários à divisão celular. Esta droga é eficiente no tratamento de pacientes com câncer pulmonar localmente avançado ou metastático, sendo utilizado como droga de escolha. Além deste, o Docetaxel começou a ser utilizado em outros tipos de neoplasias com bons resultados, como é o caso do câncer de mama, próstata, esôfago, entre outros. Com seu uso disseminado, alguns efeitos colaterais foram atribuídos ao Docetaxel. A pneumonite causada pelo uso de taxane é uma complicação frequente que tem alta mortalidade e grande dificuldade diagnóstica, com incidência de 10%. O objetivo deste trabalho é determinar se a quimioterapia com docetaxel por via intraperitoneal em ratos altera as propriedades morfométricas do sistema respirat"
Metodologia," Foram utilizados 40 ratos machos, da raça Wistar, adquiridos no Laboratório BioAgri, Planaltina - DF, com peso entre 290 e 320 gramas. Foram divididos em 4 grupos: Controle (GC)  10 ratos tratados com solução salina a 0,9%. Grupo 70 (G70)  10 ratos tratados com docetaxel na dose de 70 mg/m2. Grupo 140 (G140)  9 ratos tratados com docetaxel na dose de 140 mg/m2. Grupo 210 (G210)  11 ratos tratados com docetaxel na dose de 210 mg/m2. Após 2 semanas os ratos foram sacrificados para coleta do bloco coração-pulmão. Estas amostras de tecido pulmonar foram processadas e coradas com HE, picrossírius e resorcina fucsina de Weigert. Realizada então a análise histológica qualitativa e a morfométrica quantitativa destas lâminas. As variáveis analisadas pela morfometria foram: edema alveolar, presença de infiltrado linfocitário mononuclear, proporção do volume de fibras colágenas e elásticas do parênquima e da vasculatura pulmonar."
Resultados," A proporção de fibras colágenas no parênquima foi estatisticamente diferente comparando os grupos que utilizaram docetaxel com o controle (GC-0.065±0.015, G70-1,256±0,227, G140-1,041±0,206 e G210-3,379±0,525, p<0,05), o mesmo não ocorrendo na proporção de fibras elásticas no parênquima (GC-39,530±1,415, G70-39,500±2,089, G140-39,480±2,143 e G210- 35,940±3,563, p>0,05), na proporção de fibras colágenas na vasculatura (GC-3,489±1,164, G70-5,852±1,289, G140-5,394±0,962 e G210-8,758±1,938, p>0,05) e na proporção de fibras elásticas na vasculatura (GC-0,333±0,009, G70-0,297±0,015, G140-0,316±0,007 e G210-0,321±0,011, p>0,05). A análise da celularidade mostrou aumento de mononucleares em G140 e G210 em comparação ao GC, com p<0,05 (GC-20,240±2,785, G70- 32,130±2,202, G140-37,520±3,807 e G210-36,440±2,077), além do aumento do edema alveolar em todos os grupos que utilizaram docetaxel em relação ao GC (GC-0.782±0,087, G70-1,899±0,124, G140-2,585±0,200 e G210-3,300±0,261, p<0,05)."
Conclusão," A proporção de fibras colágenas no parênquima foi estatisticamente diferente comparando os grupos que utilizaram docetaxel com o controle (GC-0.065±0.015, G70-1,256±0,227, G140-1,041±0,206 e G210-3,379±0,525, p<0,05), o mesmo não ocorrendo na proporção de fibras elásticas no parênquima (GC-39,530±1,415, G70-39,500±2,089, G140-39,480±2,143 e G210- 35,940±3,563, p>0,05), na proporção de fibras colágenas na vasculatura (GC-3,489±1,164, G70-5,852±1,289, G140-5,394±0,962 e G210-8,758±1,938, p>0,05) e na proporção de fibras elásticas na vasculatura (GC-0,333±0,009, G70-0,297±0,015, G140-0,316±0,007 e G210-0,321±0,011, p>0,05). A análise da celularidade mostrou aumento de mononucleares em G140 e G210 em comparação ao GC, com p<0,05 (GC-20,240±2,785, G70- 32,130±2,202, G140-37,520±3,807 e G210-36,440±2,077), além do aumento do edema alveolar em todos os grupos que utilizaram docetaxel em relação ao GC (GC-0.782±0,087, G70-1,899±0,124, G140-2,585±0,200 e G210-3,300±0,261, p<0,05)."
Palavras-Chave," Docetaxel, Câncer de Pulmão, Quimioterapia, Pneumonite, Histologia, Morfometria."
Colaboradores," Carlos Alberto Carneiro Rangel de Castro, Rodrigo Storck Carvalho, César Augusto Melo e Silva, Verônica Moreira Amado"
Os Problemas da Indução e a Abordagem Bayesiana,TituloTrabalho
Bolsista, Guilherme de Freitas Kubiszeski
Unidade Acadêmica, Filosofia 
Instituição, UnB
Orientador (a), AGNALDO CUOCO PORTUGAL
Introdução," O trabalho objetiva investigar o problema da indução em suas duas versões mais famosas (a de David Hume e a de Nelson Goodman) e o alcance da resposta bayesiana para o problema, tal como formulada por Colin Howson."
Metodologia," Inicialmente, o trabalho estudou as problematizações de David Hume e Nelson Goodman acerca da justificação do raciocínio indutivo, que projeta informações sobre o passado para eventos no futuro. Em seguida, são estudadas análises de vários autores acerca desse problema, especialmente a resposta de Popper, que visa reduzir a indução a um raciocínio hipotético-dedutivo. Por fim, o trabalho aborda a resposta bayesiana subjetivista de Collin Howson, que critica a resposta de Popper e interpreta a indução em termos de raciocínio probabilista, baseada no teorema de Bayes."
Resultados," Este trabalho analisa os dois problemas e foca na solução apresentada por Colin Howson em Humes Problem: Induction and the Justification of Belief, que utiliza a probabilidade bayesiana para demonstrar a consistência da indução. Howson apresenta os axiomas da probabilidade como impositores de restrições ao sistema de crenças do indivíduo, mostrando como conclusões que não os respeitam são inconsistentes e não podem, portanto, estar no mesmo patamar de generalizações consistentes com os axiomas."
Conclusão," Este trabalho analisa os dois problemas e foca na solução apresentada por Colin Howson em Humes Problem: Induction and the Justification of Belief, que utiliza a probabilidade bayesiana para demonstrar a consistência da indução. Howson apresenta os axiomas da probabilidade como impositores de restrições ao sistema de crenças do indivíduo, mostrando como conclusões que não os respeitam são inconsistentes e não podem, portanto, estar no mesmo patamar de generalizações consistentes com os axiomas."
Palavras-Chave," Indução, Bayesianismo, David Hume, Nelson Goodman, Kark Popper, Colin Howson "
Colaboradores, Guilherme de Freitas Kubiszeski e Agnaldo Cuoco Portugal
Desenvolvimento de módulos computacionais na plataforma ARM para armazenamento de dados e controle de estabilidade aerodinâmica,TituloTrabalho
Bolsista, Guilherme de Oliveira Costa
Unidade Acadêmica, Engenharia Elétrica 
Instituição, UnB
Orientador (a), EDSON ALVES DA COSTA JUNIOR
Introdução," O presente trabalho possui o objetivo de orientar um bolsista de iniciação científica no processo de desenvolvimento de módulos de controle para dispositivos de armazenamento de dados e de controle de estabilidade aerodinâmica em plataforma ARM, prevendo ainda um voo experimental para coleta de dados e validação dos módulos. Este estudo está inserido dentro do contexto do projeto MINIVANT, o qual tanto o aluno quanto o orientador fazem parte, e é sequência de um trabalho de iniciação científica previamente realizado pelo aluno sob a supervisão do professor Marcelino Monteiro de Andrade."
Metodologia," O projeto teve início com uma fase de revisão bibliográfica, onde foram levantados livros e referências sobre o desenvolvimento de módulo em plataforma ARM. Após a avaliação do material, o aluno começou um trabalho de estudo e codificação de interfaces auxiliares, como a serial e os mecanismos de interrupção da plataforma. O aluno então iniciou a etapa de codificação principal, a qual está em andamento. Ao final da codificação, será realizado um voo experimental e a confecção do manuscrito final deste trabalho de iniciação científica."
